SampleID,Plant,CanopyStatus,,
Group1_R1DNO1_1_root,DICA,Open,,
Group1_R1DNO1_2_root,DICA,Open,,
Group1_R2DNO1_1_root,DICA,Open,,
Group1_R2DNO1_2_root,DICA,Open,,
Group1_R3DNO1_1_root,DICA,Open,,
Group1_R3DNO1_2_root,DICA,Open,,
Group2_R3EIC1_1_root,ERLE,Canopy,,
Group2_R3EIC1_2_root,ERLE,Canopy,,
Group2_R1EIC1_1_root_bad,ERLE,Canopy,,
Group2_R1EIC1_2_root_bad,ERLE,Canopy,,
Group2_R2EIC1_1_root,ERLE,Canopy,,
Group2_R2EIC1_2_root,ERLE,Canopy,,
Group3_R1EIO1_1_root,ERLE,Open,,
Group3_R1EIO1_2_root,ERLE,Open,,
Group3_R2EIO1_1_root,ERLE,Open,,
Group3_R2EIO1_2_root,ERLE,Open,,
Group3_R3EIO1_1_root_bad,ERLE,Open,,
Group3_R3EIO1_2_bad,ERLE,Open,,
Group4_R3DNC1_1_root,DICA,Canopy,,
Group4_R3DNC1_2_root,DICA,Canopy,,
Group4_R1DNC1_1_root,DICA,Canopy,,
Group4_R1DNC1_2_root,DICA,Canopy,,
Group4_R2DNC1_1_root,DICA,Canopy,,
Group4_R2DNC1_2_root,DICA,Canopy,,