SampleID,plant,canopy,block
R01,DICA,open,1
R02,DICA,open,2
R03,DICA,close,3
R04,DICA,open,2
R05,ERLE,open,2
R06,DICA,close,1
R07,DICA,open,1
R08,ERLE,close,2
R09,ERLE,close,3
R10,DICA,close,3
R11,DICA,open,3
R12,DICA,open,2
R13,ERLE,open,1
R14,ERLE,close,2
R15,ERLE,open,1
R16,ERLE,open,1
R17,DICA,open,3
R18,DICA,open,1
R19,ERLE,open,3
R20,DICA,close,2
R21,ERLE,close,1
R22,DICA,open,3
R23,DICA,close,1
R24,DICA,close,2
R25,DICA,close,1
R26,ERLE,close,3
R27,ERLE,open,2
R28,DICA,close,2
R29,ERLE,close,3
R30,ERLE,open,2
R31,ERLE,open,3
R32,ERLE,close,1
R33,DICA,close,3
R34,ERLE,close,2
R35,ERLE,close,1
R36,ERLE,open,3